"category","month_year","volume_product","sales_product"
audio,"11-2017",36,3677.23
instrumentos_musicais,"01-2018",53,15405.58
climatizacao,"04-2018",24,3448.69
construcao_ferramentas_ferramentas,"03-2018",9,931.3
construcao_ferramentas_jardim,"12-2017",6,928.9
"","02-2018",120,12758.75
eletronicos,"04-2017",48,4822.24
construcao_ferramentas_jardim,"08-2018",23,3688.76
fashion_roupa_masculina,"04-2018",1,195.0
moveis_cozinha_area_de_servico_jantar_e_jardim,"02-2018",20,4750.16
fashion_calcados,"03-2017",14,1515.0
moveis_escritorio,"05-2017",56,8403.43
market_place,"05-2017",22,2476.98
sinalizacao_e_seguranca,"06-2018",27,5863.18
bebidas,"07-2018",17,1335.17
instrumentos_musicais,"10-2017",27,6859.16
bebidas,"09-2017",8,327.97
moveis_escritorio,"10-2016",6,1300.88
eletroportateis,"08-2018",25,6759.06
pet_shop,"01-2017",15,967.12
livros_interesse_geral,"07-2018",25,4077.45
telefonia_fixa,"02-2017",22,759.23
tablets_impressao_imagem,"11-2017",6,350.4
pc_gamer,"04-2017",2,259.98
construcao_ferramentas_construcao,"03-2018",71,10549.38
eletronicos,"01-2017",11,617.0
fashion_roupa_masculina,"08-2018",3,381.69
malas_acessorios,"07-2017",74,8357.61
cool_stuff,"01-2017",40,7784.87
eletrodomesticos,"07-2017",37,3671.99
livros_importados,"02-2017",1,99.0
fashion_calcados,"02-2018",11,1033.7
alimentos,"05-2017",3,387.9
moveis_cozinha_area_de_servico_jantar_e_jardim,"08-2018",21,2156.47
eletronicos,"07-2017",97,7346.84
